employee_id,name,department,login,password
20000001,"""Kelly Smith""",1,"""Ksmith""","""Kelly001"""
20000002,"""James Johnson""",3,"""Jjohnson""","""James002"""
20000003,"""Maria Miller""",5,"""Mmiller""","""Maria003"""
20000004,"""Robert Clark""",2,"""Rclark""","""Robert004"""
20000005,"""George Davis""",9,"""Gdavis""","""George005"""
20000006,"""David Wilson""",7,"""Dwilson""","""David006"""
20000007,"""Kathy Taylor""",8,"""Ktaylor""","""Kathy007"""
20000008,"""Tina Brown""",5,"""Tbrown""","""Tina008"""
20000009,"""Courtney Jones""",2,"""Cjones""","""Courtney009"""
20000010,"""Mary Miller""",10,"""Mmiller""","""Mary0010"""
